,0
0,-690.6784555630293
1,5632.094033348607
2,-5930.283927862998
3,-899.6123621382285
4,3157.7819148300914
5,6567.975009233574
6,3806.331207453157
7,19324.209512922098
8,1572.0302564045414
9,4622.6129919596715
10,-2792.2798912760336
11,-1333.8491484153783
12,-4850.082462215214
13,-8090.1560668323655
14,-3850.109024098376
15,9834.064833566314
16,-2161.3599524997408
17,-197.5539489785442
18,-4518.5098611232825
19,2670.194541770732
20,241.4223544448614
21,552.961636325228
22,-38.48120321077295
23,-3241.4485056189587
24,4192.375040562474
25,-10238.413783142227
26,-2811.3809849414974
27,-11384.826534802327
28,2801.561292293598
29,2831.43325286638
30,8731.044373507379
31,4076.3818530031713
32,-11807.150104096392
33,-18457.599588985788
34,-1008.6774679395603
35,-6665.316157285939
36,522.4725043164799
37,5118.509269850329
38,-1188.1867526661372
39,12627.815675031394
40,5129.078632665332
41,906.6255934885703
42,-1306.4363817496924
43,5394.97627320257
44,-3371.334149104194
45,435.1094861065503
46,3849.0372844460653
47,4622.246498147841
48,-58.22763497114647
49,3618.883212434943
50,4380.792099919869
51,866.4825580257457
52,-3137.5839861222776
53,1326.221159673878
54,2680.6292770456057
55,1914.5152210686356
56,1995.9886263060616
57,315.05861132300925
58,4311.976201301441
59,-104.5720329527976
60,488.6741601822432
61,-11947.196600509458
