,0
0,973148.1424141015
1,972743.9961955968
2,978042.7132421419
3,977652.7132421419
4,971668.9371731451
5,974338.205632595
6,971374.6870112282
7,971825.7657183367
8,969241.2022756949
9,973385.5656878825
10,980076.9634265972
11,978706.0408124416
12,981614.2091626466
13,972645.3665484283
14,971717.3591860989
15,974876.9678394386
16,975056.9536188508
17,980885.6330674498
18,979791.1815288281
19,982181.796848975
20,984803.3190667735
21,989876.7765763238
22,992898.1883334898
23,998075.0513705622
24,998857.0360293225
25,1005145.5244031232
26,1003032.5216482229
27,1006277.1515764549
28,1006927.1515764549
29,1007798.2081688435
30,1008788.2598593605
31,1005562.853507913
32,1006149.2836113623
33,1007290.5124281837
34,1006274.8536417444
35,1018002.2207502236
36,1015171.2310209594
37,1014926.5628408686
38,1012568.7983866077
39,1010413.0909929931
40,1012141.9897425101
41,1011024.7766912323
42,1011087.2680488328
43,1013955.1956173407
44,1011209.979157758
45,1016210.1483730404
46,1018631.5892647165
47,1018135.2573181995
48,1019290.0531219485
49,1007381.6443578942
50,1007298.7298786279
51,1006838.9726785052
52,1008243.5449273707
53,1005663.4474847813
54,1011177.7207161254
55,1015763.1597926777
56,1016487.9299693597
57,1014610.6860499488
58,1011065.5849961686
59,1013224.496491654
60,1011456.0583993761
61,1011616.1310535305
62,1013281.4264830988
