,0
0,1000000.0
1,1013111.2904140999
2,1016302.8470140999
3,1014870.294514
4,1011443.1788639999
5,1017988.2845139999
6,1010714.9031640999
7,1000045.2532640999
8,998033.8025639999
9,1009637.754564
10,1004478.2331639999
11,1004342.3176139999
12,987577.4442639999
13,982504.1123139999
14,992876.0208139999
15,1005591.3810139999
16,1006496.464264
17,1014702.352764
18,1021113.1259140999
19,1023598.0704639999
20,1022973.9167641
21,1037736.184164
22,1040375.2446640999
23,1037087.2005140999
24,1046838.7448139999
25,1046195.983864
26,1037882.2856639998
27,1051292.4127641
28,1040160.6952639999
29,1030553.2614641
30,1029556.347064
31,1014634.9889639999
32,1034485.4730640999
33,1009998.711014
34,1016906.1605139999
35,1016197.476514
36,1023682.5738639999
37,1039667.1156640999
38,1038299.6086139999
39,1061082.4376639999
40,1063307.825764
41,1067281.442164
42,1058103.132664
43,1062837.226964
44,1078115.721564
45,1081020.630764
46,1082369.1266140998
47,1072135.4530141
48,1068340.114564
49,1081322.279864
50,1076835.069764
51,1081668.289064
52,1081700.894164
53,1066460.579614
54,1071423.102114
55,1085601.0568141
56,1082817.793514
57,1074758.8387141
58,1080264.876714
59,1077806.3938640999
60,1065683.1151639998
61,1069969.229514
62,1069504.1641139998
63,1076526.9159141
64,1079211.4158639999
65,1076141.668914
66,1077268.531914
67,1066149.896764
68,1066672.389864
69,1074093.7744139999
70,1079156.290814
71,1081914.846964
72,1087466.000514
73,1091364.215964
74,1091299.3747641
75,1092129.406914
76,1080102.1641139998
77,1096742.596414
78,1097225.3344639998
79,1098156.8903639999
80,1101025.569114
81,1102844.8114641
82,1105942.684564
83,1103137.9542641
84,1105131.053614
85,1108524.970464
86,1097998.8842139998
87,1098073.825914
88,1107515.1954639999
89,1096872.404364
90,1076142.0914641
91,1056768.1367141
92,1055652.6823139999
93,1055256.027364
94,1060268.8301641
95,1046198.4529639999
96,1041644.1661639999
97,1053430.5928639998
98,1082098.998164
99,1082323.545614
100,1074038.023014
101,1079704.147064
102,1074442.732014
103,1075726.8518639999
104,1083708.933764
105,1086024.802364
106,1086306.868514
107,1089592.144414
108,1101747.8639139999
109,1101203.6030641
110,1103530.234314
111,1105642.2784640999
112,1109536.516714
113,1106616.870064
114,1104694.019514
115,1112356.5413139998
116,1116760.333864
117,1120817.4701641
118,1115688.882214
119,1120606.3248639998
120,1130927.862564
121,1125747.910514
122,1125744.8993139998
123,1125706.372514
124,1131262.906664
125,1133102.446214
126,1128691.0759639998
127,1137153.4002141
128,1137153.398114
129,1144575.916714
130,1145863.581814
131,1138841.2034141
132,1140833.431064
133,1147821.1047141
134,1148122.887814
135,1148179.944014
136,1160089.662064
137,1163047.8936639999
138,1151452.797964
139,1154656.336314
140,1159592.488314
141,1158442.658914
142,1160658.966764
143,1169527.3513139999
144,1170228.130864
145,1150891.617014
146,1155618.3188139999
147,1169143.191264
148,1152371.791214
149,1167336.9747141
150,1144701.057564
151,1135903.366564
152,1097947.885514
153,1082607.984314
154,1123922.0703639998
155,1121819.5944639998
156,1138071.3484639998
157,1128904.043864
158,1110299.312064
159,1106978.151664
160,1096401.986364
161,1085888.7820140999
162,1050358.566164
163,1061392.4112139998
164,1049734.9949639998
165,1046604.552664
166,1039203.7942639999
167,1072488.366914
168,1062527.7093139999
169,1062735.783014
170,1051222.0393560273
171,1071558.5305615128
172,1075033.4865443432
173,1043099.0293016012
174,1027198.234257264
175,1038433.1145018877
176,1039699.8001996103
177,1063476.4339978532
178,1062933.751868642
179,1064989.065669358
180,1083880.7325446254
181,1085888.6596331755
182,1090694.5313145693
183,1089499.4589441577
184,1092192.9534097828
185,1075441.4920513665
186,1073245.3686225428
187,1059613.6080006794
188,1062029.2966756385
189,1060806.252865459
190,1030129.4468759524
191,1022059.7504442275
192,1013863.4778865161
193,1006890.9150056804
194,1006345.8340914402
195,1015472.0833702813
196,1044915.6357634554
197,1056774.0913599874
198,1061278.4650555984
199,1064492.9383840514
200,1077142.4725744943
201,1078717.8389610352
202,1075690.8112268376
203,1052937.8952030686
204,1054818.852681602
205,1066433.6262929835
206,1053700.2946198238
207,1075985.4316223103
208,1087492.839476175
209,1095360.0789984416
210,1096796.2960457955
211,1091313.270327394
212,1088779.3749627348
213,1089710.1629856506
214,1111997.2304596035
215,1111001.5341693694
216,1115546.956198406
217,1114702.1815459507
218,1111639.9060224942
219,1117196.3854596035
220,1110798.1110802237
221,1081201.3101085732
222,1073878.3200145033
223,1072017.4514945457
224,1072493.269169671
225,1083141.5614853604
226,1081387.639763947
227,1070142.933201216
228,1066287.0076408938
229,1061183.289899873
230,1047177.9846163315
231,1050274.9182623604
232,1044828.1361502631
233,1062220.0778780342
234,1046874.974515906
235,1048659.6609042343
236,1074946.9534335078
237,1078643.4783814957
238,1090554.25432914
239,1091467.2552281872
240,1081851.5121671492
241,1088319.5924966356
242,1089332.7474681519
243,1088674.3207256184
244,1097776.4859474327
245,1097641.2379404933
246,1101574.3533185422
247,1105005.5705848192
248,1102900.9958707
249,1117665.4173418372
250,1119089.8598820465
251,1115789.5028528934
252,1110028.741886898
253,1128051.0668856243
254,1123940.9396906777
255,1127830.6894386956
256,1127275.3730707215
257,1122000.37853234
258,1125945.1369845893
259,1119800.431071302
260,1136117.0701007352
261,1139311.238951185
262,1139789.9099848021
263,1143576.1771979828
264,1145390.2058256166
265,1145237.6395803597
266,1154341.404760626
267,1154803.1737111823
268,1151501.4125067184
269,1153991.643770296
270,1143516.8244759676
271,1155492.7869837426
272,1156650.9733639448
273,1158264.7293313525
274,1161115.976172308
275,1161442.5135266227
276,1156662.771032875
277,1154411.6946137825
278,1156443.786719159
279,1158685.7511380042
280,1165615.070486495
281,1168231.3251596545
282,1189523.9262289493
283,1189184.2633288617
284,1187913.766494539
285,1183182.9154987792
286,1182191.3214733626
287,1176368.3085600224
288,1165526.7157688828
289,1168003.564990746
290,1148132.6719587017
291,1149795.5654056245
292,1167917.487198776
293,1167561.335403647
294,1167050.683762726
295,1152282.393452316
296,1166921.0885386032
297,1166935.1925919116
298,1154711.5386324574
299,1155564.4745031416
300,1151003.5892930056
301,1174970.5121192608
302,1188581.4670637462
303,1189108.045729799
304,1187845.9750512869
305,1188078.4682036957
306,1189569.78239422
307,1189350.8424360938
308,1188686.5542247123
309,1190670.5963055482
310,1195151.379807454
311,1193926.9228873902
312,1196118.9726788327
313,1196055.6502479038
314,1194639.5682835255
315,1201949.6054424448
316,1204704.7982366744
317,1206769.6753289981
318,1206722.2301404858
319,1204662.990566267
320,1205506.24107146
321,1207638.8845867063
322,1206177.872520688
323,1205116.6846157108
324,1213045.4321166105
325,1214998.6181577975
326,1219987.7518176166
327,1217829.1064130117
328,1214800.0561402808
329,1212530.0092851652
330,1216347.2273829936
331,1226091.8517543536
332,1224016.3772420194
333,1228700.7482037442
334,1228429.4318800285
335,1237399.0491008856
336,1233128.658204644
337,1230617.6830657325
338,1235258.0826894296
339,1245570.3862467306
340,1244337.8483992459
341,1246810.5693988388
342,1248481.9219532066
343,1231562.4770692275
344,1238356.5914199464
345,1252040.2757708142
346,1253380.1244349799
347,1255261.8259717138
348,1259082.9271448278
349,1265600.814055834
350,1273653.5343109418
351,1274604.3285412213
352,1273460.950960545
353,1278972.1757872791
354,1277797.513588919
355,1275640.5195052244
356,1281836.770554474
357,1285710.146024229
358,1293175.2930662092
359,1293007.1716410087
360,1273031.6530277214
361,1263618.9837500057
362,1258390.9751729814
363,1268019.434214621
364,1277494.6544675117
365,1258103.1778713688
366,1261514.7616568813
367,1280654.4793855238
368,1272184.7825043688
369,1263267.7334292503
370,1275528.277500927
371,1272613.4081816059
372,1253359.265827451
373,1255960.99637896
374,1248050.5238797
375,1233815.8573288294
376,1214343.2165105117
377,1227086.9838453962
378,1235594.0845084465
379,1252690.065666357
380,1251335.090817688
381,1256725.0707601714
382,1266719.014805375
383,1272334.0768739828
384,1266284.3153141078
385,1277325.280739293
386,1283844.2294864554
387,1281291.8430346989
388,1288429.7381250637
389,1290346.5985620483
390,1289590.3330324555
391,1292511.7717333764
392,1291612.036392349
393,1288616.3090089161
394,1286768.0385630042
395,1273575.479480068
396,1274735.5572961075
397,1277062.6268342761
398,1285027.8964012126
399,1268379.4663436038
400,1276035.2688413311
401,1293837.258973044
402,1298083.4910327964
403,1297495.4242102923
404,1306717.68619248
405,1318678.1413528323
406,1324735.773259425
407,1329815.8394459914
408,1329571.1503342304
409,1326643.8365848812
410,1317972.0115820777
411,1307491.762853687
412,1307266.1374502422
413,1314990.3752630414
414,1322961.6442217336
415,1311862.6885122547
416,1319401.2375570228
417,1307480.166755384
418,1301805.1824571365
419,1294698.8382811118
420,1305487.4895979431
421,1310680.6002176744
422,1298663.3893670891
423,1287300.9107991606
424,1283855.3341623025
425,1287556.667602424
426,1294417.787628576
427,1296895.6415975643
428,1296760.3236411288
429,1309978.0245757732
430,1281169.4386571639
431,1277749.8405926663
432,1266348.4814137237
433,1260924.517675452
434,1260070.982564504
435,1255155.7798384416
436,1262942.1695572983
437,1240086.7622804728
438,1240996.537338943
439,1255104.130393473
440,1235321.820548858
441,1241681.8350445046
442,1245287.0275594075
443,1252753.3714363568
444,1261273.9601588466
445,1255094.1259060365
446,1249946.9431910606
447,1240287.5969929832
448,1250470.3008109697
449,1266488.3559121434
450,1274501.2962163005
451,1286507.0427251114
452,1304093.2164433107
453,1303959.9822795205
454,1306330.6354229203
455,1309335.236298055
456,1320645.7480570553
457,1313765.5745894606
458,1299162.90963316
459,1291429.7735230722
460,1293844.7294891411
461,1288855.6582252588
462,1295732.4439841951
463,1282434.2160529627
464,1299634.0254459493
465,1300834.3341010853
466,1319102.0445536044
467,1313437.7403466369
468,1306438.5948448374
469,1296287.3950529105
470,1277357.2585954468
471,1273301.8943548694
472,1264469.9680978025
473,1259118.1622668603
474,1235005.8871221277
475,1234641.029664877
476,1188217.6157559864
477,1190317.0743505063
478,1121917.9995345487
479,1166941.2994761642
480,1120816.2466285122
481,1157745.5273554835
482,1173804.3427978072
483,1189290.790684254
484,1187272.1553466946
485,1187573.9011251216
486,1150014.2296041339
487,1131223.7293701733
488,1133183.3366696702
489,1161824.9324790395
490,1172578.533440368
491,1158965.9773097693
492,1172746.9490444164
493,1196679.8749801232
494,1195392.269114108
495,1207860.9284420565
496,1195578.3044975193
497,1169570.5204782174
498,1167935.917616601
499,1159679.0232888497
500,1188548.663111388
501,1176076.3324680887
502,1141928.6795024415
503,1143883.524227813
504,1147365.6062542766
505,1160725.877154529
506,1180109.9642059891
507,1186813.3035374878
508,1172681.266510901
509,1173940.59064391
510,1141683.0340476136
511,1102818.7113544845
512,1108928.219174986
513,1134790.8327026197
514,1152111.8916345818
515,1136148.8803729739
