,0
0,-18604.42412633379
1,12028.068601681385
2,-1219.4364391835406
3,-12.800000000046566
4,-1146.6668922898825
5,-8640.293949830811
6,-1778.7764162353706
7,29478.231230858946
8,12299.664278627839
9,-5005.704002610641
10,11293.428987517254
11,-4067.4337723627687
12,-13541.697836944368
13,-9610.319388885517
14,-9043.330409618327
15,4848.446561482968
16,29051.86510498263
17,-5263.698452549521
18,-806.2234996755142
19,7318.802630156511
20,-3714.055709972745
21,26717.8560128822
22,779.9485254376195
23,-791.8315340210684
24,3129.661332720658
25,2407.3707039034925
26,16020.551227798453
27,2731.762816737173
28,17049.793798137223
29,7975.374159408035
30,-849.5433080836665
31,12324.500956320437
32,11016.92323567532
33,-1731.191992617678
34,8500.342542329337
35,-24030.91249613394
36,26599.897280509816
37,13013.00591191696
38,861.3163611220662
39,16790.879017225932
40,4510.471867558779
41,831.1461775745265
42,7749.841200395487
43,11284.490500256652
44,-15449.841812132858
45,7607.212040103972
46,8226.232187504647
47,19824.409528709948
48,7180.738174060127
49,14510.594570403686
50,17.656704805791378
51,4203.074389569927
52,-21666.366433339892
53,-2609.1741674982477
54,-10946.247541134013
55,-33086.319756173296
56,23666.970907196403
57,-14083.739350875607
58,-4925.841722435318
59,-2498.249700660119
60,-1270.4937788108364
61,-27600.051093887538
