,0
0,1747494.8131655012
1,1749500.698063799
2,1751283.3724290256
3,1750752.223477705
4,1748911.4555449788
5,1750887.957031562
6,1751089.8296060318
7,1751039.5823609848
8,1751976.5836605115
9,1751843.5781071947
10,1750686.8219416148
11,1752399.156567337
12,1752686.688691359
13,1756453.7275398124
14,1753444.0738593903
15,1755560.2236402768
16,1751334.7052351744
17,1754141.2298547237
18,1757850.0094642476
19,1753560.5876789973
20,1756566.5794603047
21,1756422.2094877874
22,1756884.0493221069
23,1758523.5942945627
24,1762101.2037983097
25,1758735.9329284003
26,1760562.7836457707
27,1757925.8178806049
28,1756704.7373326756
29,1757747.787051097
30,1757106.9015562844
31,1753452.542419564
32,1758975.0122961577
33,1760265.2243668041
34,1760493.7946700673
35,1764896.9690548338
36,1763819.48390946
37,1763677.5631636882
38,1763694.208673783
39,1762822.4413208917
40,1771779.0984913923
41,1773129.6308951052
42,1778194.8352098183
43,1776455.0841187725
44,1774616.648166971
45,1767677.1523112152
46,1766242.5062279475
47,1768443.4037503724
48,1771440.6827827718
49,1772238.8677604732
50,1770548.5497418244
51,1770711.2645777562
52,1765312.5906248654
53,1772474.714182304
54,1779862.4781664263
55,1776110.3355110865
56,1775632.9836389478
57,1778066.8087261042
58,1778006.871533791
59,1777966.934974967
60,1778517.435861315
61,1779246.0150719844
62,1784460.0132941564
