,0
0,1000000.0
1,1012301.4708382647
2,1015590.6939544968
3,1012356.4417195203
4,999483.1508780803
5,1007113.3976801735
6,1002336.048593031
7,988926.7850043604
8,985393.9915605086
9,995715.1296463213
10,995415.802718818
11,999971.8268792863
12,984678.4510327276
13,974652.5684483573
14,986703.4686251748
15,1004942.2164047476
16,1007352.0178544795
17,1021334.4074861772
18,1024756.7707710345
19,1033816.4989304851
20,1031191.1377758668
21,1041467.538564876
22,1037158.803990622
23,1031759.1201328425
24,1041091.9202397998
25,1036255.043273313
26,1035960.2834459915
27,1035700.4255996867
28,1031399.2765120597
29,1017824.0132520745
30,1007371.6010728884
31,987742.4182344257
32,1005027.8461541332
33,987530.0350151743
34,996568.6575664849
35,1004405.8682173283
36,1011713.893776796
37,1016060.0110251558
38,1015812.856866397
39,1032208.7322476753
40,1031790.7811550708
41,1038268.1733200542
42,1033816.1651046996
43,1037895.4510103146
44,1054989.7615643356
45,1055279.366274848
46,1054122.7033634458
47,1045419.8389713162
48,1043453.3950335878
49,1053323.2250651678
50,1051295.806022636
51,1061181.6330994738
52,1061226.7133994736
53,1047179.5388839497
54,1051823.3715019985
55,1064238.7552183485
56,1067830.0754205906
57,1067978.4236887533
58,1058173.2153562584
59,1055057.8977752163
60,1042631.7125776692
61,1034769.998682757
62,1037551.3369296838
63,1038803.2300194806
64,1045949.6707858066
65,1044739.5948371636
66,1050991.5047350698
67,1035484.9796702883
68,1036659.1240011808
69,1033396.6720822735
70,1031932.9449229228
71,1038145.5380364399
72,1043317.5918363481
73,1047946.2269825804
74,1045070.844299095
75,1043127.7191740072
76,1042798.7095225776
77,1057700.6958102845
78,1058419.64509207
79,1065284.8896880944
80,1061978.7541552405
81,1065605.304928572
82,970070.72693431
83,1053201.1673175322
84,1059313.5597006758
85,1061052.2860299905
86,1051318.47890088
87,1051745.62530088
88,1058251.1304228276
89,1043072.0604230152
90,1033411.7029549349
91,1023131.4605740538
92,1025246.0965941937
93,1022779.900159279
94,1017274.5737499358
95,1013021.5668366919
96,1007693.9042013981
97,1019682.5824481949
98,1036058.1089989073
99,1034636.1210069255
100,1025825.5439857327
101,1026517.8068740419
102,1027235.6816325043
103,1033335.6566565417
104,1038593.5653628765
105,1046182.3464689992
106,1049236.0435128277
107,1043862.471632293
108,1052014.6476509904
109,1050274.5477461012
110,1049859.104651745
111,1049533.9197883066
112,1047045.4227005166
113,1046076.7800335054
114,1044668.3677665044
115,1055363.538805326
116,1060147.5291457835
117,1058401.7390046092
118,1048873.7100844139
119,1050644.632106972
120,1054787.7997436349
121,1046558.3463152052
122,1044020.5207544054
123,1048616.116029673
124,1056310.2748643784
125,1056316.940940639
